타일맵Id,X좌표,Y좌표,이동가능타일맵파일,이동불가타일맵파일
99000126,5,0,t_916,t_734
99000127,5,1,t_771,t_732
99000128,5,2,t_916,t_732
99000129,5,3,t_987,t_899
99000130,5,4,t_985,t_728
99000131,5,5,t_771,t_728
99000132,5,6,t_987,t_734
99000133,5,7,t_771,t_735
99000134,5,8,t_987,t_735
99000135,5,9,t_771,t_732
99000136,5,10,t_985,t_899
99000137,5,11,t_771,t_734
99000138,5,12,t_987,t_899
99000139,5,13,t_771,t_728
99000140,5,14,t_916,t_728
99000141,5,15,t_999,t_728
99000142,5,16,t_916,t_899
99000143,5,17,t_771,t_904
99000144,5,18,t_985,t_899
99000145,5,19,t_987,t_904
99000146,5,20,t_771,t_734
99000147,5,21,t_916,t_732
99000148,5,22,t_916,t_904
99000149,5,23,t_999,t_904
99000150,5,24,t_771,t_899
99000151,6,0,t_771,t_734
99000152,6,1,t_771,t_899
99000153,6,2,t_771,t_734
99000154,6,3,t_987,t_899
99000155,6,4,t_987,t_734
99000156,6,5,t_985,t_899
99000157,6,6,t_916,t_735
99000158,6,7,t_985,t_732
99000159,6,8,t_999,t_728
99000160,6,9,t_999,t_735
99000161,6,10,t_771,t_734
99000162,6,11,t_771,t_728
99000163,6,12,t_916,t_732
99000164,6,13,t_984,t_904
99000165,6,14,t_916,t_734
99000166,6,15,t_999,t_728
99000167,6,16,t_999,t_735
99000168,6,17,t_985,t_899
99000169,6,18,t_771,t_899
99000170,6,19,t_999,t_904
99000171,6,20,t_987,t_734
99000172,6,21,t_987,t_734
99000173,6,22,t_916,t_899
99000174,6,23,t_985,t_728
99000175,6,24,t_987,t_732
99000176,7,0,t_987,t_904
99000177,7,1,t_916,t_899
99000178,7,2,t_987,t_728
99000179,7,3,t_916,t_734
99000180,7,4,t_999,t_899
99000181,7,5,t_771,t_899
99000182,7,6,t_984,t_735
99000183,7,7,t_985,t_734
99000184,7,8,t_916,t_899
99000185,7,9,t_916,t_904
99000186,7,10,t_916,t_904
99000187,7,11,t_916,t_735
99000188,7,12,t_985,t_904
99000189,7,13,t_916,t_734
99000190,7,14,t_771,t_734
99000191,7,15,t_916,t_904
99000192,7,16,t_916,t_904
99000193,7,17,t_999,t_732
99000194,7,18,t_987,t_734
99000195,7,19,t_771,t_904
99000196,7,20,t_916,t_732
99000197,7,21,t_985,t_904
99000198,7,22,t_985,t_904
99000199,7,23,t_999,t_904
99000200,7,24,t_999,t_735
99000201,8,0,t_987,t_728
99000202,8,1,t_985,t_735
99000203,8,2,t_999,t_904
99000204,8,3,t_985,t_899
99000205,8,4,t_985,t_904
99000206,8,5,t_987,t_904
99000207,8,6,t_987,t_732
99000208,8,7,t_985,t_732
99000209,8,8,t_984,t_899
99000210,8,9,t_987,t_732
99000211,8,10,t_771,t_904
99000212,8,11,t_999,t_899
99000213,8,12,t_916,t_735
99000214,8,13,t_985,t_904
99000215,8,14,t_916,t_734
99000216,8,15,t_985,t_735
99000217,8,16,t_985,t_732
99000218,8,17,t_771,t_904
99000219,8,18,t_916,t_732
99000220,8,19,t_985,t_732
99000221,8,20,t_985,t_728
99000222,8,21,t_987,t_899
99000223,8,22,t_916,t_899
99000224,8,23,t_916,t_899
99000225,8,24,t_999,t_734
99000226,9,0,t_984,t_899
99000227,9,1,t_999,t_735
99000228,9,2,t_984,t_734
99000229,9,3,t_985,t_734
99000230,9,4,t_916,t_899
99000231,9,5,t_984,t_732
99000232,9,6,t_771,t_904
99000233,9,7,t_999,t_728
99000234,9,8,t_916,t_899
99000235,9,9,t_987,t_728
99000236,9,10,t_771,t_899
99000237,9,11,t_771,t_899
99000238,9,12,t_987,t_735
99000239,9,13,t_984,t_735
99000240,9,14,t_771,t_728
99000241,9,15,t_984,t_732
99000242,9,16,t_984,t_899
99000243,9,17,t_999,t_734
99000244,9,18,t_771,t_728
99000245,9,19,t_985,t_735
99000246,9,20,t_771,t_735
99000247,9,21,t_771,t_732
99000248,9,22,t_771,t_735
99000249,9,23,t_985,t_904
99000250,9,24,t_999,t_899
99000251,10,0,t_999,t_899
99000252,10,1,t_771,t_735
99000253,10,2,t_987,t_735
99000254,10,3,t_771,t_728
99000255,10,4,t_771,t_899
99000256,10,5,t_984,t_734
99000257,10,6,t_771,t_899
99000258,10,7,t_987,t_735
99000259,10,8,t_985,t_728
99000260,10,9,t_916,t_728
99000261,10,10,t_985,t_735
99000262,10,11,t_999,t_734
99000263,10,12,t_916,t_899
99000264,10,13,t_916,t_734
99000265,10,14,t_916,t_728
99000266,10,15,t_984,t_904
99000267,10,16,t_987,t_728
99000268,10,17,t_771,t_735
99000269,10,18,t_771,t_735
99000270,10,19,t_987,t_728
99000271,10,20,t_771,t_734
99000272,10,21,t_916,t_899
99000273,10,22,t_999,t_728
99000274,10,23,t_999,t_735
99000275,10,24,t_999,t_728
99000276,11,0,t_985,t_732
99000277,11,1,t_771,t_734
99000278,11,2,t_771,t_735
99000279,11,3,t_999,t_735
99000280,11,4,t_987,t_899
99000281,11,5,t_999,t_734
99000282,11,6,t_999,t_904
99000283,11,7,t_916,t_732
99000284,11,8,t_771,t_734
99000285,11,9,t_985,t_732
99000286,11,10,t_984,t_734
99000287,11,11,t_771,t_732
99000288,11,12,t_999,t_899
99000289,11,13,t_916,t_728
99000290,11,14,t_987,t_904
99000291,11,15,t_985,t_728
99000292,11,16,t_987,t_899
99000293,11,17,t_771,t_734
99000294,11,18,t_984,t_899
99000295,11,19,t_985,t_904
99000296,11,20,t_771,t_734
99000297,11,21,t_916,t_734
99000298,11,22,t_987,t_728
99000299,11,23,t_999,t_899
99000300,11,24,t_985,t_735
99000301,12,0,t_987,t_899
99000302,12,1,t_999,t_732
99000303,12,2,t_771,t_728
99000304,12,3,t_984,t_735
99000305,12,4,t_916,t_735
99000306,12,5,t_987,t_899
99000307,12,6,t_985,t_728
99000308,12,7,t_984,t_734
99000309,12,8,t_987,t_904
99000310,12,9,t_771,t_735
99000311,12,10,t_771,t_732
99000312,12,11,t_985,t_732
99000313,12,12,t_984,t_904
99000314,12,13,t_985,t_732
99000315,12,14,t_771,t_899
99000316,12,15,t_985,t_732
99000317,12,16,t_985,t_735
99000318,12,17,t_999,t_904
99000319,12,18,t_984,t_728
99000320,12,19,t_987,t_899
99000321,12,20,t_985,t_732
99000322,12,21,t_985,t_899
99000323,12,22,t_916,t_904
99000324,12,23,t_985,t_904
99000325,12,24,t_987,t_735
99000326,13,0,t_985,t_734
99000327,13,1,t_999,t_735
99000328,13,2,t_771,t_728
99000329,13,3,t_985,t_899
99000330,13,4,t_987,t_728
99000331,13,5,t_771,t_734
99000332,13,6,t_987,t_735
99000333,13,7,t_987,t_735
99000334,13,8,t_999,t_904
99000335,13,9,t_999,t_904
99000336,13,10,t_771,t_734
99000337,13,11,t_999,t_735
99000338,13,12,t_771,t_734
99000339,13,13,t_916,t_735
99000340,13,14,t_987,t_904
99000341,13,15,t_985,t_732
99000342,13,16,t_987,t_734
99000343,13,17,t_984,t_734
99000344,13,18,t_985,t_899
99000345,13,19,t_985,t_899
99000346,13,20,t_999,t_728
99000347,13,21,t_916,t_728
99000348,13,22,t_984,t_734
99000349,13,23,t_984,t_728
99000350,13,24,t_916,t_735
99000351,14,0,t_916,t_732
99000352,14,1,t_916,t_734
99000353,14,2,t_916,t_735
99000354,14,3,t_984,t_899
99000355,14,4,t_916,t_728
99000356,14,5,t_916,t_904
99000357,14,6,t_985,t_904
99000358,14,7,t_984,t_735
99000359,14,8,t_771,t_735
99000360,14,9,t_771,t_899
99000361,14,10,t_987,t_734
99000362,14,11,t_771,t_899
99000363,14,12,t_985,t_899
99000364,14,13,t_985,t_728
99000365,14,14,t_771,t_904
99000366,14,15,t_771,t_734
99000367,14,16,t_985,t_899
99000368,14,17,t_987,t_732
99000369,14,18,t_916,t_732
99000370,14,19,t_999,t_728
99000371,14,20,t_916,t_734
99000372,14,21,t_771,t_899
99000373,14,22,t_771,t_734
99000374,14,23,t_987,t_732
99000375,14,24,t_987,t_734
99000376,15,0,t_985,t_904
99000377,15,1,t_987,t_899
99000378,15,2,t_987,t_734
99000379,15,3,t_984,t_732
99000380,15,4,t_984,t_735
99000381,15,5,t_985,t_732
99000382,15,6,t_999,t_734
99000383,15,7,t_999,t_899
99000384,15,8,t_985,t_735
99000385,15,9,t_999,t_735
99000386,15,10,t_916,t_904
99000387,15,11,t_771,t_904
99000388,15,12,t_987,t_732
99000389,15,13,t_916,t_735
99000390,15,14,t_987,t_728
99000391,15,15,t_999,t_899
99000392,15,16,t_916,t_732
99000393,15,17,t_916,t_899
99000394,15,18,t_771,t_904
99000395,15,19,t_999,t_899
99000396,15,20,t_771,t_734
99000397,15,21,t_985,t_732
99000398,15,22,t_916,t_728
99000399,15,23,t_916,t_732
99000400,15,24,t_987,t_904
99000401,16,0,t_984,t_904
99000402,16,1,t_916,t_735
99000403,16,2,t_984,t_735
99000404,16,3,t_987,t_899
99000405,16,4,t_984,t_728
99000406,16,5,t_999,t_734
99000407,16,6,t_771,t_735
99000408,16,7,t_985,t_899
99000409,16,8,t_985,t_732
99000410,16,9,t_999,t_899
99000411,16,10,t_771,t_899
99000412,16,11,t_984,t_904
99000413,16,12,t_916,t_728
99000414,16,13,t_999,t_904
99000415,16,14,t_916,t_735
99000416,16,15,t_984,t_734
99000417,16,16,t_771,t_734
99000418,16,17,t_771,t_899
99000419,16,18,t_916,t_734
99000420,16,19,t_985,t_732
99000421,16,20,t_984,t_734
99000422,16,21,t_771,t_732
99000423,16,22,t_985,t_728
99000424,16,23,t_987,t_904
99000425,16,24,t_985,t_899
99000426,17,0,t_987,t_735
99000427,17,1,t_984,t_734
99000428,17,2,t_985,t_728
99000429,17,3,t_987,t_732
99000430,17,4,t_984,t_735
99000431,17,5,t_987,t_735
99000432,17,6,t_985,t_899
99000433,17,7,t_771,t_728
99000434,17,8,t_987,t_728
99000435,17,9,t_999,t_735
99000436,17,10,t_771,t_734
99000437,17,11,t_999,t_899
99000438,17,12,t_999,t_732
99000439,17,13,t_771,t_732
99000440,17,14,t_771,t_732
99000441,17,15,t_984,t_734
99000442,17,16,t_999,t_904
99000443,17,17,t_984,t_735
99000444,17,18,t_985,t_904
99000445,17,19,t_984,t_728
99000446,17,20,t_771,t_735
99000447,17,21,t_984,t_904
99000448,17,22,t_916,t_735
99000449,17,23,t_987,t_904
99000450,17,24,t_999,t_904
99000451,18,0,t_916,t_732
99000452,18,1,t_771,t_899
99000453,18,2,t_984,t_899
99000454,18,3,t_985,t_904
99000455,18,4,t_984,t_732
99000456,18,5,t_985,t_734
99000457,18,6,t_984,t_732
99000458,18,7,t_987,t_734
99000459,18,8,t_999,t_904
99000460,18,9,t_916,t_735
99000461,18,10,t_771,t_732
99000462,18,11,t_984,t_732
99000463,18,12,t_916,t_728
99000464,18,13,t_999,t_904
99000465,18,14,t_771,t_735
99000466,18,15,t_916,t_735
99000467,18,16,t_771,t_728
99000468,18,17,t_771,t_735
99000469,18,18,t_771,t_735
99000470,18,19,t_985,t_735
99000471,18,20,t_984,t_734
99000472,18,21,t_771,t_899
99000473,18,22,t_771,t_735
99000474,18,23,t_999,t_904
99000475,18,24,t_987,t_734
99000476,19,0,t_984,t_899
99000477,19,1,t_985,t_728
99000478,19,2,t_984,t_904
99000479,19,3,t_999,t_904
99000480,19,4,t_985,t_735
99000481,19,5,t_999,t_728
99000482,19,6,t_985,t_728
99000483,19,7,t_985,t_728
99000484,19,8,t_987,t_904
99000485,19,9,t_987,t_728
99000486,19,10,t_916,t_734
99000487,19,11,t_771,t_735
99000488,19,12,t_985,t_732
99000489,19,13,t_987,t_735
99000490,19,14,t_916,t_735
99000491,19,15,t_985,t_899
99000492,19,16,t_987,t_904
99000493,19,17,t_987,t_735
99000494,19,18,t_987,t_734
99000495,19,19,t_999,t_734
99000496,19,20,t_985,t_904
99000497,19,21,t_984,t_899
99000498,19,22,t_987,t_732
99000499,19,23,t_985,t_734
99000500,19,24,t_987,t_732
99000501,20,0,t_999,t_732
99000502,20,1,t_987,t_728
99000503,20,2,t_985,t_728
99000504,20,3,t_916,t_735
99000505,20,4,t_984,t_728
99000506,20,5,t_916,t_899
99000507,20,6,t_987,t_735
99000508,20,7,t_916,t_899
99000509,20,8,t_771,t_734
99000510,20,9,t_916,t_732
99000511,20,10,t_985,t_732
99000512,20,11,t_985,t_899
99000513,20,12,t_984,t_732
99000514,20,13,t_984,t_734
99000515,20,14,t_999,t_728
99000516,20,15,t_916,t_734
99000517,20,16,t_985,t_732
99000518,20,17,t_987,t_732
99000519,20,18,t_985,t_899
99000520,20,19,t_999,t_734
99000521,20,20,t_771,t_899
99000522,20,21,t_985,t_732
99000523,20,22,t_771,t_899
99000524,20,23,t_999,t_734
99000525,20,24,t_985,t_732
99000526,21,0,t_985,t_734
99000527,21,1,t_916,t_735
99000528,21,2,t_771,t_899
99000529,21,3,t_985,t_734
99000530,21,4,t_999,t_899
99000531,21,5,t_771,t_904
99000532,21,6,t_987,t_728
99000533,21,7,t_985,t_904
99000534,21,8,t_984,t_735
99000535,21,9,t_984,t_735
99000536,21,10,t_916,t_904
99000537,21,11,t_771,t_732
99000538,21,12,t_771,t_904
99000539,21,13,t_987,t_899
99000540,21,14,t_999,t_904
99000541,21,15,t_984,t_735
99000542,21,16,t_984,t_728
99000543,21,17,t_984,t_735
99000544,21,18,t_999,t_899
99000545,21,19,t_771,t_728
99000546,21,20,t_771,t_732
99000547,21,21,t_984,t_899
99000548,21,22,t_999,t_899
99000549,21,23,t_999,t_904
99000550,21,24,t_987,t_732
99000551,22,0,t_999,t_899
99000552,22,1,t_984,t_732
99000553,22,2,t_999,t_734
99000554,22,3,t_771,t_899
99000555,22,4,t_987,t_734
99000556,22,5,t_987,t_728
99000557,22,6,t_984,t_732
99000558,22,7,t_999,t_732
99000559,22,8,t_987,t_728
99000560,22,9,t_987,t_735
99000561,22,10,t_984,t_732
99000562,22,11,t_771,t_899
99000563,22,12,t_987,t_728
99000564,22,13,t_985,t_732
99000565,22,14,t_984,t_904
99000566,22,15,t_916,t_732
99000567,22,16,t_771,t_728
99000568,22,17,t_771,t_899
99000569,22,18,t_771,t_904
99000570,22,19,t_999,t_732
99000571,22,20,t_771,t_732
99000572,22,21,t_985,t_728
99000573,22,22,t_985,t_734
99000574,22,23,t_985,t_904
99000575,22,24,t_916,t_735
99000576,23,0,t_987,t_734
99000577,23,1,t_985,t_735
99000578,23,2,t_985,t_904
99000579,23,3,t_916,t_904
99000580,23,4,t_984,t_904
99000581,23,5,t_999,t_732
99000582,23,6,t_999,t_899
99000583,23,7,t_987,t_728
99000584,23,8,t_984,t_899
99000585,23,9,t_999,t_904
99000586,23,10,t_985,t_728
99000587,23,11,t_771,t_732
99000588,23,12,t_999,t_728
99000589,23,13,t_999,t_899
99000590,23,14,t_985,t_904
99000591,23,15,t_771,t_734
99000592,23,16,t_987,t_734
99000593,23,17,t_987,t_899
99000594,23,18,t_985,t_734
99000595,23,19,t_999,t_728
99000596,23,20,t_984,t_904
99000597,23,21,t_771,t_728
99000598,23,22,t_916,t_899
99000599,23,23,t_984,t_904
99000600,23,24,t_987,t_904
99000601,24,0,t_987,t_899
99000602,24,1,t_984,t_732
99000603,24,2,t_984,t_735
99000604,24,3,t_916,t_728
99000605,24,4,t_987,t_732
99000606,24,5,t_916,t_899
99000607,24,6,t_916,t_728
99000608,24,7,t_984,t_734
99000609,24,8,t_916,t_899
99000610,24,9,t_984,t_735
99000611,24,10,t_771,t_732
99000612,24,11,t_916,t_728
99000613,24,12,t_985,t_734
99000614,24,13,t_771,t_735
99000615,24,14,t_984,t_904
99000616,24,15,t_999,t_904
99000617,24,16,t_916,t_735
99000618,24,17,t_999,t_899
99000619,24,18,t_916,t_732
99000620,24,19,t_999,t_904
99000621,24,20,t_984,t_735
99000622,24,21,t_916,t_899
99000623,24,22,t_916,t_735
99000624,24,23,t_984,t_904
99000625,24,24,t_984,t_728
